ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Ensifer	5.099	16.955	6.44E-05	0.00037188	Enriched	0.556	0.016
Gordonia	3.996	11.551	6.52E-05	0.000375219	Enriched	0.016	0.001
Gp6	-1.668	17.384	6.61E-05	0.000378558	Depleted	1.033	3.285
Alkanindiges	16.223	11.288	7.99E-05	0.000451096	Enriched	0.008	0
Salinimicrobium	20.077	16.053	8.00E-05	0.000451096	Enriched	0.111	0
Nitrobacter	18.405	13.966	8.00E-05	0.000451096	Enriched	0.035	0
Gilvibacter	19.297	15.095	8.00E-05	0.000451096	Enriched	0.064	0
Lysobacter	1.906	16.835	8.22E-05	0.000460796	Enriched	0.689	0.184
Moorella	-15.629	9.967	8.26E-05	0.000460796	Depleted	0	0.005
Ferritrophicum	-2.015	13.611	8.27E-05	0.000460796	Depleted	0.008	0.032
Massilia	0.441	14.58	8.69E-05	0.000482571	Enriched	0.107	0.079
Hydrogenophaga	3.181	14.799	9.76E-05	0.000539837	Enriched	0.147	0.016
Erythromicrobium	-2.209	12.668	0.000100518	0.000553821	Depleted	0.012	0.054
Desulfonema	2.925	12.424	0.00010095	0.000554062	Enriched	0.028	0.004
Thiomicrospira	-2.163	11.967	0.000109747	0.000600035	Depleted	0.003	0.013
Salinarimonas	-1.596	12.873	0.000124824	0.000679862	Depleted	0.019	0.058
Pullulanibacillus	-1.454	12.136	0.000133129	0.000722337	Depleted	0.015	0.042
Catenulispora	-1.459	11.551	0.000166195	0.000898336	Depleted	0.008	0.023
Thermicanus	-4.2	11.772	0.000191719	0.00103021	Depleted	0.001	0.011
Shimazuella	-2.058	10.551	0.000192036	0.00103021	Depleted	0.002	0.01
Pseudochrobactrum	6.291	13.61	0.000200967	0.001074083	Enriched	0.026	0
Aciditerrimonas	-0.504	13.772	0.00021087	0.001122804	Depleted	0.076	0.108
Mycetocola	3.565	12.288	0.000219488	0.001141057	Enriched	0.02	0.002
Saccharothrix	3.003	13.873	0.000220413	0.001141057	Enriched	0.051	0.006
Methylocaldum	20.791	17.24	0.00022147	0.001141057	Enriched	0.181	0
Haliscomenobacter	21.146	18.116	0.000221472	0.001141057	Enriched	0.232	0
Croceicoccus	18.441	13.92	0.000221486	0.001141057	Enriched	0.036	0
Sphingosinicella	18.499	14.323	0.00022149	0.001141057	Enriched	0.037	0
Candidimonas	19.209	15.032	0.000221492	0.001141057	Enriched	0.061	0
Bifidobacterium	17.223	12.667	0.000221492	0.001141057	Enriched	0.015	0
Leucobacter	18.78	14.095	0.000221495	0.001141057	Enriched	0.045	0
Patulibacter	0.161	13.053	0.000259693	0.001333027	Enriched	0.046	0.042
Steroidobacter	-2.649	16.707	0.000296493	0.001516469	Depleted	0.219	1.376
Sporomusa	0.108	15.136	0.000301706	0.001537622	Enriched	0.089	0.082
Thalassobaculum	-15.307	9.966	0.00030663	0.001557157	Depleted	0	0.004
Corynebacterium	3.296	12.666	0.000314444	0.001591176	Enriched	0.023	0.002
Leifsonia	1.939	15.442	0.000337679	0.001702716	Enriched	0.337	0.088
Tissierella	-2.437	10.966	0.000348066	0.001748908	Depleted	0.002	0.011
Shewanella	16.88	12.666	0.000367676	0.00182914	Enriched	0.012	0
Chelatococcus	18.692	13.873	0.000367875	0.00182914	Enriched	0.042	0
Sporocytophaga	19.577	14.848	0.000367879	0.00182914	Enriched	0.078	0
Enhydrobacter	5.26	13.824	0.000384349	0.001904396	Enriched	0.026	0.001
Oscillochloris	-3.936	11.773	0.000405157	0.001995193	Depleted	0.001	0.014
Skermanella	0.274	16.34	0.00040547	0.001995193	Enriched	0.564	0.467
Singulisphaera	-0.537	14.638	0.000413618	0.002025286	Depleted	0.087	0.127
Parvibaculum	7.284	16.897	0.000414424	0.002025286	Enriched	0.105	0.001
Olsenella	-1.595	12.288	0.00047781	0.002327083	Depleted	0.014	0.041
Ureibacillus	0.006	12.773	0.000488392	0.002370529	Enriched	0.009	0.009
Armatimonadetes_gp2	-0.512	14.175	0.000574319	0.002778148	Depleted	0.104	0.148
Acetivibrio	-1.976	12.136	0.000585119	0.002820829	Depleted	0.012	0.046
Tangfeifania	-15.423	9.967	0.000590521	0.002837285	Depleted	0	0.004
Ochrobactrum	18.998	15.773	0.000610348	0.002893807	Enriched	0.052	0
Enterococcus	16.651	11.773	0.000610354	0.002893807	Enriched	0.01	0
Persicitalea	20.734	16.908	0.000610391	0.002893807	Enriched	0.174	0
Vitellibacter	20.159	15.707	0.000610397	0.002893807	Enriched	0.117	0
Glycocaulis	-2.522	9.967	0.000621508	0.002936727	Depleted	0.001	0.007
Caloranaerobacter	-2.118	11.289	0.000638286	0.003006053	Depleted	0.003	0.011
Roseiflexus	-4.287	11.551	0.000716737	0.00336442	Depleted	0.001	0.011
Acidithiobacillus	4.754	13.824	0.000726687	0.00339551	Enriched	0.027	0.001
Limnobacter	5.688	17.617	0.000728119	0.00339551	Enriched	1.08	0.021
Zoogloea	-1.38	15.392	0.00077175	0.003587257	Depleted	0.083	0.216
Kofleria	-0.141	12.966	0.000842531	0.003903544	Depleted	0.059	0.065
Armatimonadetes_gp5	-2.501	12.288	0.00090661	0.004186836	Depleted	0.004	0.023
Chondromyces	-0.794	12.426	0.000914128	0.004207938	Depleted	0.031	0.054
Diplorickettsia	6.587	17.785	0.000975432	0.004475695	Enriched	0.455	0.005
Thermogutta	-0.888	14.095	0.000983764	0.004499459	Depleted	0.045	0.084
Syntrophobotulus	-1.843	13.773	0.001001227	0.0045137	Depleted	0.024	0.086
Thermoanaerobacter	-2.392	11.551	0.001004132	0.0045137	Depleted	0.002	0.011
Pseudorhodoferax	17.25	12.964	0.00101197	0.0045137	Enriched	0.016	0
Thermoflavimicrobium	18.476	15.175	0.001012081	0.0045137	Enriched	0.036	0
Propionibacterium	16.566	12.426	0.001012101	0.0045137	Enriched	0.01	0
Oerskovia	17.166	12.288	0.001012122	0.0045137	Enriched	0.015	0
Natronocella	17.61	12.773	0.001012172	0.0045137	Enriched	0.02	0
Gelidibacter	20.209	16.126	0.001012182	0.0045137	Enriched	0.121	0
Pectinatus	-15.529	10.55	0.001137748	0.005057841	Depleted	0	0.005
Lutispora	-1.41	10.551	0.0011526	0.00510795	Depleted	0.005	0.012
