ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Belliella	15.347	12.136	0.015353623	0.046091182	Enriched	0.004	0
Bauldia	16.79	13.873	0.015355234	0.046091182	Enriched	0.011	0
Cycloclasticus	20.793	18.741	0.015355626	0.046091182	Enriched	0.182	0
Geoalkalibacter	15.025	10.551	0.01535567	0.046091182	Enriched	0.003	0
Zhizhongheella	2.663	14.323	0.015374494	0.046091182	Enriched	0.024	0.004
Zoogloea	1.775	15.68	0.01635581	0.048826904	Enriched	0.023	0.007
Lautropia	-1.863	9.966	0.016369185	0.048826904	Depleted	0.001	0.003
Oleispira	3.837	15.681	0.01638969	0.048826904	Enriched	0.103	0.007
Thiophaeococcus	5.287	15.988	0.016900286	0.050243143	Enriched	0.384	0.01
Cyclobacterium	2.095	12.667	0.017414827	0.051665193	Enriched	0.011	0.003
Enhygromyxa	2.965	14.01	0.017703104	0.052411473	Enriched	0.047	0.006
Desulfofrigus	-2.507	8.967	0.017892637	0.052862925	Depleted	0	0.002
Telmatocola	-0.184	11.551	0.018346291	0.054091234	Depleted	0.002	0.002
Desulfosoma	2.642	13.489	0.019458241	0.057251361	Enriched	0.038	0.006
Alkalibacterium	15.347	11.288	0.020020856	0.058502425	Enriched	0.004	0
Ensifer	16.025	13.054	0.020021198	0.058502425	Enriched	0.007	0
Gaetbulimicrobium	18.883	16.639	0.020021312	0.058502425	Enriched	0.048	0
Anoxybacillus	3.05	14.251	0.020047432	0.058502425	Enriched	0.019	0.002
Povalibacter	-0.885	11.288	0.020225949	0.058902916	Depleted	0.003	0.005
Diaphorobacter	0.222	14.214	0.021289525	0.061874036	Enriched	0.027	0.023
Hyunsoonleella	3.113	12.425	0.02138796	0.061966746	Enriched	0.01	0.001
Nitrosopumilus	-0.713	16.943	0.021408273	0.061966746	Depleted	0.24	0.393
Paramoritella	-1.184	10.551	0.021700498	0.062628292	Depleted	0.002	0.004
Eionea	3.639	17.574	0.0217246	0.062628292	Enriched	0.142	0.011
Lacinutrix	-0.769	12.967	0.022588843	0.064988466	Depleted	0.006	0.01
Acanthopleuribacter	3.86	14.424	0.022713135	0.065214576	Enriched	0.022	0.002
Ectothiorhodospira	1.688	14.897	0.023107622	0.066214008	Enriched	0.185	0.058
Phaeospirillum	5.199	15.786	0.02316805	0.066254122	Enriched	0.028	0.001
Ferrovibrio	5.635	13.136	0.02329033	0.066470601	Enriched	0.019	0
Porticoccus	0.832	15.176	0.023529735	0.067019825	Enriched	0.148	0.083
Anaeromyxobacter	3.86	11.773	0.024130776	0.068469545	Enriched	0.006	0
