ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Ralstonia	4.523	16.26	1.71E-07	2.75E-06	Enriched	0.161	0.007
Albimonas	19.459	15.638	2.02E-07	3.17E-06	Enriched	0.072	0
Microvirga	5.086	12.288	2.02E-07	3.17E-06	Enriched	0.024	0.001
Ensifer	4.06	13.425	2.13E-07	3.30E-06	Enriched	0.035	0.002
Phreatobacter	2.328	12.873	2.19E-07	3.36E-06	Enriched	0.049	0.01
Desulfovibrio	3.543	14.214	2.48E-07	3.76E-06	Enriched	0.151	0.013
Gracilimonas	-4.8	13.053	3.49E-07	5.25E-06	Depleted	0.002	0.058
Candidatus_Pelagibacter	-6.76	15.305	5.00E-07	7.43E-06	Depleted	0.002	0.226
Amnibacterium	-17.326	13.136	5.58E-07	8.15E-06	Depleted	0	0.016
Nitrosospira	-2.242	13.667	5.60E-07	8.15E-06	Depleted	0.023	0.108
Draconibacterium	-4.317	14.25	7.05E-07	1.02E-05	Depleted	0.005	0.1
Pandoraea	-1.666	14.799	7.24E-07	1.03E-05	Depleted	0.067	0.212
Rubrivirga	20.819	15.116	8.47E-07	1.20E-05	Enriched	0.185	0
Armatimonadetes_gp4	4.953	14.053	1.10E-06	1.53E-05	Enriched	0.032	0.001
Altererythrobacter	3.599	16.694	1.18E-06	1.64E-05	Enriched	0.869	0.072
Arenimonas	-0.258	14.873	1.40E-06	1.92E-05	Depleted	0.26	0.312
Rathayibacter	-4.352	12.288	1.62E-06	2.21E-05	Depleted	0.001	0.026
Myroides	21.809	18.413	1.72E-06	2.30E-05	Enriched	0.368	0
Xanthomonas	20.484	16.458	1.72E-06	2.30E-05	Enriched	0.147	0
Aridibacter	2.957	13.609	1.86E-06	2.46E-05	Enriched	0.079	0.01
Sandaracinobacter	5.33	13.824	2.18E-06	2.85E-05	Enriched	0.056	0.001
Lactobacillus	4.525	13.214	2.35E-06	3.02E-05	Enriched	0.024	0.001
Rhodococcus	2.055	14.848	2.36E-06	3.02E-05	Enriched	0.068	0.016
Mogibacterium	-5.069	11.551	2.37E-06	3.02E-05	Depleted	0	0.014
Sanguibacter	-5.554	11.551	2.39E-06	3.02E-05	Depleted	0	0.02
Herpetosiphon	7.975	17.72	2.68E-06	3.36E-05	Enriched	0.264	0.001
Desulfosarcina	6.725	17.652	2.77E-06	3.44E-05	Enriched	0.259	0.002
Kocuria	6.086	14.288	2.81E-06	3.46E-05	Enriched	0.095	0.001
Nocardioides	4.487	16.908	3.16E-06	3.86E-05	Enriched	0.306	0.014
Blastocatella	3.863	16.105	3.36E-06	4.06E-05	Enriched	0.092	0.006
Papillibacter	8.328	16.799	3.42E-06	4.11E-05	Enriched	0.337	0.001
Marinobacterium	-2.027	13.136	3.64E-06	4.33E-05	Depleted	0.02	0.083
Salinimicrobium	5.926	15.458	3.71E-06	4.37E-05	Enriched	0.064	0.001
Chromobacterium	5.442	12.666	3.77E-06	4.41E-05	Enriched	0.03	0.001
Bdellovibrio	-1.375	13.489	3.93E-06	4.56E-05	Depleted	0.05	0.131
Halothiobacillus	-6.454	13.92	4.26E-06	4.90E-05	Depleted	0.001	0.073
Brumimicrobium	-2.325	13.053	4.30E-06	4.91E-05	Depleted	0.015	0.077
Lysinimicrobium	-18.838	12.967	4.60E-06	5.18E-05	Depleted	0	0.047
Desulfatitalea	-2.885	10.967	4.61E-06	5.18E-05	Depleted	0.002	0.015
Siccibacter	-0.076	17.086	4.97E-06	5.55E-05	Depleted	0.27	0.284
Spirochaeta	-4.52	12.425	5.34E-06	5.91E-05	Depleted	0.001	0.029
Croceicoccus	5.539	14.176	5.53E-06	6.07E-05	Enriched	0.065	0.001
Eubacterium	3.51	15.095	5.58E-06	6.08E-05	Enriched	0.127	0.011
Serinicoccus	17.61	12.966	7.04E-06	7.39E-05	Enriched	0.02	0
Thalassobacillus	16.931	10.966	7.04E-06	7.39E-05	Enriched	0.012	0
Flavisolibacter	19.253	15.811	7.05E-06	7.39E-05	Enriched	0.062	0
Fulvimarina	19.602	14.214	7.05E-06	7.39E-05	Enriched	0.08	0
Catalinimonas	18.234	12.666	7.05E-06	7.39E-05	Enriched	0.031	0
Agrococcus	-5.863	17.761	7.30E-06	7.60E-05	Depleted	0.02	1.164
Hahella	6.94	13.551	7.46E-06	7.71E-05	Enriched	0.043	0
Filimonas	-1.797	13.966	7.63E-06	7.83E-05	Depleted	0.015	0.051
Lewinella	2.873	17.26	1.01E-05	0.000103372	Enriched	0.748	0.102
Loktanella	3.512	13.874	1.26E-05	0.000127104	Enriched	0.084	0.007
Haloactinobacterium	-17.654	12.772	1.29E-05	0.000129956	Depleted	0	0.021
Kyrpidia	18.451	13.61	1.42E-05	0.000140507	Enriched	0.036	0
Rubricoccus	20.117	14.666	1.42E-05	0.000140507	Enriched	0.114	0
Arcobacter	-0.102	16.666	1.65E-05	0.000162278	Depleted	0.734	0.788
Siphonobacter	1.04	16.341	1.76E-05	0.000171787	Enriched	0.113	0.055
Longispora	-5.629	11.966	1.81E-05	0.000175237	Depleted	0	0.021
Rickettsia	-0.759	14.799	1.90E-05	0.000183492	Depleted	0.075	0.127
Sulfuricurvum	-1.218	13.824	1.96E-05	0.000187597	Depleted	0.022	0.051
